Date,Close,Open,High,Low,Vol.,Change %
2007-01-22,9130.9,9181.3,9183.9,9119.1,,-0.53%
2007-01-23,9199.7,9130.9,9209.0,9129.8,,0.75%
2007-01-24,9268.5,9199.8,9268.5,9199.8,,0.75%
2007-01-25,9154.7,9268.5,9268.7,9145.5,,-1.23%
2007-01-29,9139.5,9154.1,9176.6,9128.9,,-0.16%
2007-01-31,9254.7,9205.8,9271.8,9166.4,,0.52%
2007-02-01,9327.7,9254.8,9330.0,9254.8,,0.79%
2007-02-02,9325.2,9327.7,9329.4,9300.6,,-0.03%
2007-02-05,9313.2,9325.3,9325.3,9287.4,,-0.13%
2007-02-06,9345.2,9313.0,9349.8,9313.0,,0.34%
2007-02-07,9353.6,9345.2,9371.9,9334.1,,0.09%
2007-02-08,9345.5,9353.6,9355.3,9305.0,,-0.09%
2007-02-09,9291.6,9345.6,9365.5,9264.8,,-0.58%
2007-02-12,9258.3,9291.6,9294.1,9243.0,,-0.36%
2007-02-13,9351.4,9258.3,9351.4,9258.3,,1.01%
2007-02-14,9427.3,9351.4,9439.8,9351.4,,0.81%
2007-02-15,9435.0,9427.3,9441.9,9412.8,,0.08%
2007-02-20,9453.9,9433.4,9458.5,9389.3,,0.22%
2007-02-21,9433.5,9453.7,9453.7,9390.6,,-0.22%
2007-02-22,9433.1,9433.4,9457.3,9398.8,,0.00%
2007-02-23,9420.2,9433.1,9436.5,9402.1,,-0.14%
2007-02-26,9421.4,9420.2,9463.6,9397.2,,0.01%
2007-02-27,9079.4,9421.2,9421.2,9022.9,,-3.63%
2007-02-28,9124.5,9079.4,9173.0,9075.8,,0.50%
2007-03-01,9074.3,9124.5,9124.5,8931.6,,-0.55%
2007-03-02,8958.0,9074.3,9074.3,8956.3,,-1.28%
2007-03-05,8838.0,8958.0,8958.0,8838.0,,-1.34%
2007-03-06,9006.0,8838.0,9022.3,8838.0,,1.90%
2007-03-07,8999.2,9006.0,9051.5,8986.8,,-0.08%
2007-03-08,9078.6,8999.6,9113.7,8999.6,,0.88%
2007-03-09,9095.0,9078.6,9122.1,9063.9,,0.18%
2007-03-12,9120.9,9094.8,9135.1,9067.3,,0.28%
2007-03-13,8926.9,9121.0,9121.0,8925.0,,-2.13%
2007-03-14,8958.6,8927.0,8962.6,8812.4,,0.36%
2007-03-15,9005.2,8958.6,9020.8,8951.1,,0.52%
2007-03-16,8983.0,9005.3,9052.3,8966.8,,-0.25%
2007-03-19,9091.0,8983.1,9097.2,8983.1,,1.20%
2007-03-20,9158.3,9091.1,9158.9,9081.4,,0.74%
2007-03-21,9317.7,9158.3,9332.9,9158.3,,1.74%
2007-03-22,9313.8,9317.7,9339.5,9290.9,,-0.04%
2007-03-23,9338.4,9313.8,9352.4,9312.9,,0.26%
2007-03-26,9341.4,9338.4,9342.6,9259.6,,0.03%
2007-03-28,9218.5,9288.8,9288.8,9200.3,,-0.76%
2007-03-29,9279.1,9218.5,9293.1,9218.5,,0.66%
2007-03-30,9261.8,9279.1,9305.7,9214.1,,-0.19%
2007-04-02,9305.5,9261.8,9307.9,9249.3,,0.47%
2007-04-03,9381.5,9305.6,9397.5,9305.6,,0.82%
2007-04-04,9398.6,9381.5,9399.4,9362.1,,0.18%
2007-04-05,9426.6,9398.6,9435.2,9386.9,,0.30%
2007-04-09,9429.2,9426.6,9450.3,9422.5,,0.03%
2007-04-10,9468.7,9429.2,9472.8,9429.2,,0.42%
2007-04-11,9413.6,9468.7,9470.8,9396.3,,-0.58%
2007-04-12,9477.8,9413.6,9478.0,9382.6,,0.68%
2007-04-13,9522.9,9477.8,9522.9,9468.6,,0.48%
2007-04-16,9625.5,9522.9,9625.5,9522.9,,1.08%
2007-04-17,9631.7,9625.6,9653.4,9614.1,,0.06%
2007-04-18,9634.9,9631.7,9658.3,9598.8,,0.03%
2007-04-19,9601.7,9634.8,9634.8,9563.2,,-0.34%
2007-04-20,9697.3,9601.7,9697.4,9601.7,,1.00%
2007-04-23,9660.6,9697.3,9698.6,9655.4,,-0.38%
2007-04-24,9648.5,9660.5,9666.2,9616.5,,-0.13%
2007-04-25,9746.6,9648.5,9752.4,9648.5,,1.02%
2007-04-26,9715.5,9746.6,9746.6,9693.4,,-0.32%
2007-04-27,9705.4,9715.3,9724.5,9673.0,,-0.10%
2007-04-30,9627.7,9705.4,9723.9,9627.6,,-0.80%
2007-05-03,9753.9,9718.0,9759.7,9713.8,,0.37%
2007-05-04,9793.0,9754.0,9814.7,9754.0,,0.40%
2007-05-07,9825.1,9793.0,9832.0,9793.0,,0.33%
2007-05-08,9788.0,9825.1,9825.1,9736.9,,-0.38%
2007-05-09,9827.9,9788.0,9830.8,9774.8,,0.41%
